question,fact
What 5-letter word spelt in all capital letters can be read the exact same upside down?,1
Are there any movies about Atlantis?,1
"Tell me which of these items would be helpful on a camping trip: Golf Club, Tent, Matches, Axe, Soccer Ball, Xbox, Water bottle",1
How do dolphins make noise?,1
"Which of these would I find on a pirate ship: oars, cannons, gym shoes, air conditioning, swords, frisbee golf set",1
"Identify which instrument is string or percussion: Fontomfrom, Ruan",1
Is Qumran worth to visit,1
"Classify the following foods by macronutrient: rice, banana, veal, tofu, butter, avocado, kangaroo, and pumpkin.",1
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves voluntary donation.",0
Which stock indexes is RELX part of?,1
"Tell me whether the following are Pokemon or Overwatch characters: Hanzo, Flareon, Mewtwo, Mei, Dratini, Kiriko",1
"Does having a real cork, artificial cork, or a screw-top have any impact on the quality of a bottle of wine?",1
"Is the saying ""An Apple a Day Keeos the Doctor Away"" Factually correct?",1
Give me a list of the 10 best European cities to visit,0
Why do people like cats?,1
"In the following passage about mechanical-switch keyboards, which keyboards are the loudest, and how can I make them quieter?",0
"Who amongst these are tennis players: Virat Kohli, Roger Federer, Rafael Nadal, Novak Djokovic, Serena Williams, PV Sindhu, Virender Sehwag, Maria Sharapova, Steffi Graf, Venus Williams.",1
What is the 2018 TicketGuardian 500,1
What is the difference between a trumpet and a trombone?,1
Where is the Stade Louis-ll located?,1
"From the passage provided, extract the distance between Mercury and Sun in AU when it is closest to the sun in its orbit.",1
What is power resource theory?,1
Please give me a short bulleted list of the most important facts about the album “The Dark Side of the Moon” from the rockband Pink Floyd,1
Why do people like to travel?,1
What is the area of Texas in square feet?,1
Do dogs reciprocate based on how you treat them?,0
What motivates a chief executive officer?,1
Who is the little person in Game of Thrones?,1
"Name some of the great TV shows of the 1970s, 1980s and 1990s",1
Which companies did Theranos partner with in 2015?,1
What is daylight saving time?,1
What is a Husky?,1
"What season are each of these associated with? Snow, flowers, beaches, pumpkins",1
"Based on the given text, can you please. list some important aspects of colour theory",1
"What is the fastest street legal car, actually demonstrated, in the world?",1
What is TESSA?,1
"Given this paragraph about surfboards, summarize what a surfboard is made of",1
Why can't the whole world be 1 country?,1
What is the .NET Framework?,1
Where did David Houseman go to college?,1
Who really invented the telephone ?,1
Tell me what are aspects of polytopes from given text,1
Where are oysters found?,1
What can an organization do to increase employee satisfaction apart from providing monetary benefits? What can be the focus areas? Are there any daily lists of activities which can be beneficial in this aspect?,1
What is salvation in christianity?,1
"List the universities in Dublin in order of founding year ascending. Supply the answer as an enumerated list in the format {University name}, {Year of founding}",1
What are the best 10 high protein options to eat?,0
What is GDPR?,1
Which episode does Jon Snow concede to Daenerys Targaryen's authority?,1
"Identify which of these episodes appear in Season 5 or Season 6 of The X-Files: The Pine Bluff Variant, Bad Blood, Detour, Emily, Christmas Carol, The End, Dreamland, Triangle, Drive, The Beginning, S.R. 819, Field Trip",1
What is Lady Gaga's real name?,1
"From this passage, tell me what was Osborne Computer Corporation's mistake.",1
What are some interesting places to visit in Canada as a tourist?,1
Extract the various ways to say Good Friday from the text. Separate them with a new line.,0
What is the Taubate Prison known for,1
How many toes does a cat have?,1
What is the difference between iOS and MacOS?,1
"Classify each of the following as amphibian or mammal. Dog, Toad, Salamander, Elephant, Frog, Bear",1
Whats are the 5 best places to visit in late spring months like May?,0
Who is the greatest Boston Red Sox player of all time?,0
How is the Maasai dance called the Adumu commonly called by other peoples?,1
"Identify which instrument is string or percussion: Caxixi, Gunjac",1
"Classify each of the following as having two or four legs: human, horse, dog, cat, monkey, kangaroo, boar",1
"What did Apple co-founder, Steve Jobs, die from?",1
What is the number one selling dog?,1
How do you play basketball,1
"Given this information about Vietnam, which country does it share its northern border with?",1
"Given a reference text about Farhad Moshiri, what do his painted jars look like?",1
Retrieve and list the Sum41 albums mentioned in the text,1
"Based on this paragraph, what is the diameter of a 10 F Foley catheter in mm?",1
What is the definition of Vegan?,1
What is an Ironman Triathlon?,1
How many slide positions are there on a trombone,1
"Tell me whether these are European countries or Asian countries: Spain, France, Norway, the Czech Republic, Denmark, Portugal, Brazil, South Africa, Canada, China, Japan, Malaysia, Singapore, Sri Lanka, The Philippines",1
What country has the highest GDP?,1
Which Dutch explorer reached Tasmania and New Zealand in 1642?,1
What do the different ski slope colors mean?,1
"Categorize each of the following fundamental particles as either interacting via the strong force, the electromagnetic force, the weak force,  or the gravitation force: a neutrino, an electron, a proton, a neutron.",1
"What are some of the ways that people celebrate the ""Jindo's Sea Way"" festival in South Korea?",1
"Classify each of the following as either a type of coffee bean or a Latin dance style: bachata, huehuetenango, tango, Jamaican Blue mountain, merengue, salsa, Tanzanian Peaberry, Ethiopian Harrar, Kenya AA, flamenco",1
How are sub-lets traditionally they handled?,0
What is Fortran?,1
Write a letter to a school asking for an appointment to tour their facility,0
What is the capital city of Croatia?,1
"Identify which instrument is string or percussion: Kisanji, Tonkori",1
"Which of the following ski resorts are in Colorado and which are in Utah: Alta Ski Area, Brighton Ski Resort, Snowbird, Solitude Mountain Resort, Deer Valley Resort, Park City Mountain,  Woodward Park City, Nordic Valley Resort, Powder Mountain, Snowbasin, Sundance Resort, Beaver Mountain Resort, Cherry Peak Resort, Brian Head Resort, Eagle Point Resort, Keystone, Copper Mountain, Vail Resort, Beaver Creek, Eldora",1
What are three meals that a small child is likely to eat for lunch?,1
How many atomic bombs have been used in combat in human history?,1
"Tell me which of the eight planets in our solar system have moons and which do not. Classify the planets into 'No Moon', 'One Moon', and 'Multiple Moons'. The planets are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",1
What are some common wilderness and survival skills?,1
Who sang Big Big Deal,1
"Identify which instrument is string or percussion: Igil, Bara",1
"From the passage provided, extract the movie that did well across the globe but received underwhelming traction in Matt Damon's home country.",1
Why are shiba inus the best dogs?,0
"Identify which animal species is alive or extinct: Simbakubwa, Arctic Wolf",1
"Who composed the 'Moonlight Sonata', and when?",1
Who is Marshall Strickland,1
"Identify which car manufacturer is French or American: Peugeot, Ford",1
What is Twice's debut album?,1
"You have been asked to join the School Health Advisory Council to develop a new policy that focuses on the development of a more sustainable food service. List the steps you would take to develop and implement the new policy. How would you involve staff, families, and children?",0
Why is the band Phish so popular?,1
What's Rockhopper Exploration PLC business?,1
Is it better to run or to walk?,0
"According to Sanderson's Law of Magic, what is the difference between hard and soft magic?",1
How does the J programming language improve upon the syntax of APL?,1
What is the National Payments Corporation of India?,1
Which TV series was narrated by Walter Winchell,1
At what age can you get a driver's permit in the state of Washington?,1
"classify each of the following as living or non-living: dog, table, cat, tree, pen, book.",1
What is YouTube?,1
Highlight relevant facts related to Heidelberg,1
"Which is a bird or fish: Bluethroat, Blue catfish",1
"Classify each of these things as either ""Able to fit in a bread box"" or ""Unable to fit in a bread box"": an elephant, a hockey stick, a loaf of bread, an ant, a lightbulb, a ceiling fan, a pair of blue jeans",1
"What is Cisco's formal company name, where is their headquarters, and how many employees are there in the company?",1
What caused World War 1?,1
Extract a list of all the administrative departments and function rooms found in the King's Building based on this paragraph.,1
What is database meaning?,1
What is the Charles 'Chick' Evans Memorial Scholarship?,1
"Given these paragraphs about Large language models, what corpus was the first model in OpenAI's GPT series trained in 2018 on?",1
What are the most high demands jobs in the market right now?,1
"From the passage provided, extract the length of cricket pitch",1
What is the recipe to make non-spicy Awadhi chicken biryani?,1
"Identify the differences in recognizing the signs of a heart attack versus a stroke from the following: shortness of breath, sudden numbness or weakness of face, arm, or leg, nausea, sweating, sudden confusion, and severe headaches.",1
What is the difference between medicare and medicaid?,1
"On a backcountry backpacking trip where we expect to cross waterways, categorize each of the following as either 'useful', 'not useful', 'dangerous' or 'neither'.  A chinchilla, a compass, granola, dry bag, seventeen oars, thermite, ten tons of uranium ore.",1
What is ice cream,1
how to survive on Mars,0
"Who is the director of ""Who Killed Hanna Jane?""",1
What foods does a tortoise eat?,1
List down some key points about jewel diamond from given text,1
Why do children love playing sports?,1
"What is a good Indian restaurant in Redmond, WA",0
write a story a bout a man walking a dog by the river,0
"Classify the countries based on the hemisphere they are located.
New Zealand, Tonga, Palau, Hungary, India, Japan, Latvia",1
Who was Thomas Ransom,1
How is Praveen Babi remembered in Indian pop culture reference?,1
Why do children sometimes leave milk and cookies out on Christmas Eve?,1
"Given this paragraph about salmon, give me an overview of their lifecycle.",1
What story does your family always tell about you?,1
is sales a great career,1
What is disadvantage of naive algorithm of simple random sampling?,1
Where does the name Busan (city in Korea) come from?,1
Why is the ice smooth during ice hockey games?,1
"Classify each of the following football positions as offense or defense: quarterback, running back, linebacker, cornerback, safety, tight end",1
What are the signs and symptoms of Sensory processing disorder?,1
"Classify each of the following as either titles by Ann M. Martin or Gertrude Chandler Warner: Bummer Summer, Belle Teal, A Corner of the Universe, Ten Kids, No Pets, Everything for a Dog, Surprise Island, Blue Bay Mystery, Mystery Ranch, Benny Uncovers a Mystery, The Boxcar Children",1
What is the current world population? Is it growing?,1
Which is a species of fish? Herring or Hearing,1
"Identify which car manufacturer is British or American: Vauxhall, Tesla",1
Are universities becoming obsolete ?,1
Does the HP U32 4K HDR Monitor have built-in speakers?,1
Why do people like Blue Light Therapy?,1
What is the best modern motorcycle for a beginning rider?,0
Who wrote the book that the TV show Shantaram is based on?,1
"In the series A Song of Ice and Fire, who is the founder of House Corbray?",1
What is a fun and cheap activity you can do in London when it's summer?,1
What is SoulCycle?,1
"Identify which instrument is string or percussion: Vibraslap, Inanga",1
Does Gen Z appreciate Radiohead's music?,1
What are some ways I can avoid financial failure?,1
What are the main two ways players score in the Princeton offense?,1
10 best cars to own,0
Is it easier to travel with a baby or a toddler?,0
What was the app after the second app released by YouTube?,1
Give me some ideas of things to do this weekend.,0
Which holidays are statutory summer holidays in the southern hemisphere?,1
"Out of the following, which one is not a movie: The God Father, Fight Club, Gladiator,  One Hundred Years of Solitude, and Big Fish.",1
How is electricity generated?,1
Please give me a short bullet list of Pele accomplishments based on this passage,1
How should a 30 year old invest their money to enable them to retire by the time they're 65?,0
"Given the following paragraph on the water cycle, what forms of precipitation do exist?",1
"Classify these vehicles by which go in the water or on land: dune buggy, cruise ship, pirate ship, bulldozer, submarine, sailboat, truck, car, ATV",1
Which is a species of fish? Trahira or Tahini,1
"Identify from this list what creatures are felines: panther, jaguar, elephant, kitten, human child, leopard, tiger, malamute, sofa",1
"List the ten episode titles from the second season of ""Game of Thrones"" in broadcast order.",1
"Identify which instrument is string or percussion: Kanjira, Hommel",1
What is Passover?,1
Share some information regarding the Red Telephone box from the given text,1
What is the capital of California?,1
What instruments did Henri Chaix play?,1
What started World War 1?,1
"What NBA team has the most championships in the modern era? The modern era is defined as post NBA/ABA league merger, 24 second clock and three-point basket.",1
What is the highest-grossing animated film?,1
How many times michael schumacher won the F1 championship ?,1
What is a Tepui?,1
Name five NFL teams in the NFC.,1
"Are these holidays Christian or Jewish? Passover, Hanukkah, Christmas, Easter, Valentines Day, Yom Kippur, Sukkot, Rosh Hashanah",1
"Given this paragraph about books, what is the Poison Book Project?",1
Why do people like playing games?,1
"From the passage provided, extract the year which Presto Software Foundation was announced",1
"What would be the summary of the story of Oedipus, which serves as the basis for the psychoanalytic theory of the Oedipus complex?",1
Who was declared as the winner of LIVA Miss Diva Universe 2021?,1
"Identify which animal species is alive or extinct: Arctodus, Cross River Gorilla",1
Is Clivina bipustulata a beetle?,1
What is the story of the decline of Wang Computer?,1
List a few queer books made popular by TikTok,1
What is Dogecoin?,1
"Tell me something about actress Priyanka chopra, Can you please provide some information of her from given text in bulleted points",1
Who composed The Planets suit (both names),1
"After returning home after the Boer War, where did Wade work as a clinical tutor?",1
What type of weather is typically associated with the desert?,1
Think up a bunch of different ways to exercise,0
Where were the sunspots first observed?,1
What is some advice for planning an Alaskan vacation?,1
"Given this paragraph about Love Island UK Season 9, Kai Fagan and Sanam Harrinanan won the final vote by what percent?",1
"Given this reference text about Neonatology, tell me which specialty it is related to, and where it is typically practiced.",1
What is a 2FA?,1
Why do people like coffee?,1
Why are lunar eclipses more common than solar?,1
What is the wealthiest zip code in the United States?,1
What is Mozart’s contribution to the music?,1
"Given the reference text about the Emancipation Proclamation, approximately how many enslaved African Americans were freed?",1
"Identify which animal species is alive or extinct: Meganuera, Sei Whale",1
How do you ride a bike?,1
"Which of the following are real vs. mythical animals: dove, unicorn, Komodo dragon, Sasquatch, cockatrice, snipe",1
Where is Laskowice?,1
What are five different ground Pokemon?,1
"Given this paragraph about the Last of Us TV Series, who was not cast in the show?",1
"Classify each of the following as either software or hardware: iPhone, iOS 13, Windows 10, Macbook, Windows Server 2012, iPad, Windows 11",1
What is a birdie in Golf,1
Summarize this paragraph about Candie Carawan's Highlander Center activism.,1
Who is Cristiano Ronaldo?,1
How do I cook the best steak on the bbq?,0
What are some of the most popular womens sports in North America,1
What is the primary advantage of a hydrogen fuel cell powered vehicle?,1
What articles of clothing do people typically wear in the winter?,1
"Categorize these bands as either 'rock', 'pop', 'metal' or 'indie'. Metallica, Queen, One direction, Korn, Coldplay, Arcade fire, backstreet boys",1
What is HDFS?,1
What should we conserve electricity?,0
what is the sunniest state in the US?,1
"Classify each of the following as mainstream media or social media: Twitter, Reddit, CNN, MSNBC, Instagram, Fox News",1
Who wrote the song House of Love,1
"From the given text, list the movies of Shah Rukh Khan in a chronological manner.",1
What is it like living in Salt Lake City?,1
Which is a species of fish? Escolar or Escobar,1
What are the primary causes of inflation?,1
"Given a reference text about Tujhse He Raabta, tell me who played the main role in the film.",1
What Is Linux?,1
Who was Bosch's dad?,1
Who is Gabriel Garcia Marquez?,1
Write a brief passage or elaborate in favour of or against the use or impact of social media in our day to day life.,0
"Which of the following months has 31 days? January, February, March, April, May, June, July, August, September, October, November, December",1
What is a tennis leg injury?,1
What is the best-selling single worldwide?,0
How many total fingers do most humans have?,1
Should I immigrate to Canada?,0
Who was Robert Ross Munro?,1
What's the difference between Texas Hold'em and Poker?,1
How do I search for a document that I created in Google Drive? I think the document starts with the title Finance Forecast,1
"Name some characters from the first ""Saved by the Bell"" series.",1
What were the original four federal holidays in the United States?,1
Name the members of the band Phish,1
How many national championships had Youngstown State Penguins football team won prior to 1991?,1
"Choose the word which is different from the rest:  Car, Scooter, Helicopter, Aeroplane, Cycle",1
Provide a bulleted summary of the history of Twitter,1
Who are the top tennis players right now?,1
What are some of the most memorable sports moments since the era of live television began?,1
"Write a friendly letter to my landlord, convincing them to let me get a cat. His name is George and my name is Steve. I live alone in Unit 2C and I work long hours. Include details regarding my rental contract that currently only permits dogs under 25 pounds and caged animals and requires pet deposit and rent. Give him examples as to why those animals are not ideal (include my dog allergy) and why a cat is better. Let him know I plan a robotic vacuum and mop to keep things clean. Tell him I've already found a potential pet at the local animal shelter, who is a two-year-old shelter cat who is housebroken and friendly. Remind him that Unit 2C does not have any carpeted floors and a tiled bathroom which is good for the future litter box. Convince him I'm open to a conversation to discuss further.",0
What is the best kind of dog breed?,0
"Which of these are brands for clothing: Ford, Samsung, H&M, Tommy Hilfiger, Jack & Jones, Kingfisher",1
"Classify these as animals or vehicles: helicopter, car, sheep, dog, bike, bus, van, tiger, cat, llama, deer, tractor, airplane, ship, rabbit, snake",1
Create a dialogue between two characters discussing the impact of social media on their lives. Your dialogue should explore how to compare social media to real life.,0
What style of English did Shakespeare use?,1
What is the difference between dark matter and dark energy?,1
What is the relationship between Link and Zelda?,1
"From the passage provided, extract the number of bags of coffee São Paulo produced in 1888.",1
What is fiscal policy in economics and political science?,1
"Which of the following are US presidents and which are Hollywood actors: Jimmy Carter, George Washington, Denzel Washington, Daniel Day Lewis, Abraham Lincoln, and Ronald Reagan.",1
What's a Louisville hot brown?,1
What animals can I see on safari?,1
"Currently, does Porthcurno mainly comprise farms and fisherman's cottages?",1
What are some popular game shows that can be watched on TV?,1
"There is a movie ""Slow burn"". Can you help me summarize some important points about this movie",1
Names some of the famous bravolebrities from Million Dollar Listing Los Angeles,1
List the major neighborhoods on the East Side and West Side of Manhattan.,1
What are some of the benefits of first-mover advantage?,1
What is Python?,1
what does it mean to have brunette hair?,1
What are some popular open source products used for data analytics?,1
How to become good friends with your neighbor?,0
What is the difference between a frog and a toad?,1
"Given a reference text about the golden-green woodpecker, tell be how big they are.",1
Where did Jackson move to become an actor?,1
What did George Dantzig develop?,1
Where was Eric Church born?,1
Should Elon Musk get into Formula 1?,0
"Given this table of train services, how many trains are there between Leeuwarden and Zwolle per day? Explain your math.",1
Extract the pros and cons of different speech synthesis technologies.,1
"List all the names of the underground lines in london, in alphabetical order",1
"Which of the followings are Chinese martial arts? Tai chi, Shaolin, Wing chun, Boxing, Taekwondo, Karate",1
Extract the names of the Formula One teams Vettel was a part of from the text. Separate them with a comma.,1
What is radioactive decay?,1
What happens at a track meet?,1
What nationality and percentage were forced into internment camps?,1
"Clarence Albert Pierce, Jr., tell me where he was born and what college he went attended.",1
What modern city used to be known as New Amsterdam?,1
What is the Internet of Things (IoT)?,1
Would you rather be Tom Brady or a Dragon?,0
Why killing is sin?,1
"Identify which instrument is string or percussion: Naqareh, Liuqin",1
"Given the following paragraph on water resources, in what percentage is freshwater stored in the different storage forms?",1
Who is the star of the movie Breakfast at Tiffany's?,1
"Identify which car manufacturer is British or American: McLaren, Dodge",1
"Given a reference text about the 2015 UEFA Super Cup, tell me who played in the game, who won, and the score.",1
What is a GPU?,1
What is Chianti wine? What kind of grape it is?,1
"Based on this paragraph, who directed ""Before Morning?""",1
"Write a short story about how a man named Larry Joe proposed to his girlfriend, known as The President. The proposal should take place in an unusual manner, among friends.",0
What do Georgians like about their home state?,1
What are the benefits of building a DIY home build off grid?,1
What are some typical characteristics of a Persian cat?,1
Tell me about the plot of the book Cold Granite,1
What is EDM?,1
How many U.S. Presidents have served in the military?,1
Who leads the Cambridge Zero initiative?,1
What is calcium chloride?,1
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},1
Which company produces Hibiki Whisky?,1
Which NBA team has the longest playoff drought?,1
Is a tomato a fruit or a vegetable?,1
"Classify these as winter or summer sports: beach volleyball, cross country skiing, biathlon, triathlon, kayaking",1
Write a short story (under 250 words) about meditation. The narrator should be uncomfortable.,0
"Identify which instrument is string or percussion: Rattle, Cak",1
What is a fake news?,1
What are Singapore's official languages?,1
What is it like to live in New Zealand?,1
What is the main prerequisite for an AI to surpass human-level intelligence?,1
"Given this paragraph, can you tell me why Santa Barbara is referred to as The American Riviera?",1
Provide bulleted list of the years mentioned and what happened in that year in the format {Year}--{What happened},1
What is the difference between a kidnapping and a vacation?,1
What is Barkers Butts RFC?,1
Where is Budhor Kalan,1
"Given a reference text about Francoist Spain, when did Franco rule Spain and when did he die?",1
"Identify which instrument is string or percussion: Udu, Bulbul tarang",1
"Identify which instrument is string or woodwind: Harpsichord, Quena",1
"Tell me whether these people are authors or actors: Ernest Hemingway, Stephen King, George Orwell, Johnny Depp, George Clooney, Jonah Hill",1
What are common metrics used to measure the market value of a company?,1
"Identify which animal is domesticated or wild: Cows (Cattle), Cheetah",1
Whos is Charles Awotwi Pratt?,1
What are your favourite films?,1
"Classify the following shapes by which have 4 sides or which have more than 4 sides: Hexagon, square, rectangle, octagon, decagon, rhombus, parallelogram, pentagon, dodecahedron, heptagon",1
"Tell me which of these are fire-type Pokemon: Arcanine, Lapras, Glalie, Spheal, Magmar, Houndour, Entei, Ho-oh, Torchic, Kyurem, Cubchoo, Beartic, Numel, Ninetales, Rotom, Mamoswine",1
Is a Hot dog a sandwich?,1
What is the best method for setting up to hit a golf shot approach to a green?,0
What does CEO stand for,1
Who created Craigslist?,1
What are the differences between a ukulele and guitar?,1
What is a sandworm?,1
When was Amsterdam founded?,1
Is ABAKO no longer an active political party?,1
"Classify the below aircrafts based on their utility.
F-35, F-22, J-20, Su-57 and the F/A-18, Airbus A380, Boeing 747-8",1
Please give me the keypoints about Mehmed II's reign,1
"Please write me a short children's bedtime story about a frog, a tree, and the moon. Make the moral of the story about appreciating what you have in life.",0
Is tap water safe to drink in Japan?,1
Extract the occupations of Elie Wiesel from the text.,1
Who was Catelyn Stark originally betrothed to marry?,1
Why do I not feel good after consuming a lot of chocolates?,0
Provide some key points about popular game Super Buster Bros from the given passage,1
"Identify which instrument is string or percussion: Jew's Harp, Bass Stick",1
"Given these paragraphs about Hydrogen Storage, what have been the two main historical forms of storage?",1
What is Christmas?,1
Which parts on earth cannot view a sunset?,1
"Classify the below based on the products they sell.
Adidas, nike, Pepsi, Sprite, Fanta, FILA",1
Which changes to the law are planned for the french pension reform?,1
What genres of music were popular in the late 1990s?,1
Which team won the 2023 NCAA Men's National Championship?,1
"Classify each of these European territories following as a country or capital: Amsterdam
Andorra
Andorra la Vella
Athens
Austria
Belarus
Belgium
Belgrade
Berlin
Bern
Bosnia and Herzegovina
Bratislava
Brussels
Bucharest
Budapest
Bulgaria
Chisinau
Copenhagen
Croatia
Czechia
Denmark
Dublin
Estonia
Finland
France
Germany
Greece
Helsinki
Hungary
Iceland
Ireland
Italy
Kiev
Latvia
Liechtenstein
Lisbon
Lithuania
Ljubljana
London
Luxembourg
Luxembourg
Madrid
Malta
Minsk
Moldova
Monaco
Monaco
Montenegro
Moscow
Netherlands
North Macedonia
Norway
Oslo
Paris
Podgorica
Poland
Portugal
Prague
Reykjavik
Riga
Romania
Rome
Russia
San Marino
San Marino
Sarajevo
Serbia
Skopje
Slovakia
Slovenia
Sofia
Spain
Stockholm
Sweden
Switzerland
Tallinn
Ukraine
United Kingdom
Vaduz
Valletta
Vienna
Vilnius
Warsaw
Zagreb",1
Who is the first chairman of Chine?,1
Name some of the most popular TV shows of the 2010s,1
Which Targaryen has the dragon Rhaegal named after him?,1
How does the train work?,1
What were some historical reasons for the invention of pad thai?,1
The BCG vaccine has proved quite effective against which infection,1
What are the ways to save money in gardening?,0
"Given a reference text about the Bakersfield Majestics, where did the team play its games?",1
Why did Cato think that Carthage must be destroyed?,1
"From this passage, find out who controls the Panama Canal",1
What are some Australian craft beer brands that I should try?,0
What K-pop group did Kang Se-jung sing for?,1
What is positive cash flow?,1
"Based on this passage, what is the average number of people per family in Zangisheh?",1
"From the passage provided, extract the government posts George Osborne held.",1
Who was the first woman to finish the Boston Marathon?,1
"According to the passage below, what is Reinforcement Learning?",1
Which characters belong to DC or Marvel Universe? Nova Corps or Green Lantern Corps,1
Please give me a list of the countries in which Gabribaldi fought according to the text,1
What is geodesy?,1
When did the American Civil War end?,1
How do you describe your favorite cup of coffee?,0
List the types of seed funding available for startups?,1
Who Invented the Zamboni,1
Give me a list of the best ways of looking younger than your age.,0
"In Berkeley, how do parents select their public middle school?",1
Why did the founders of YouTube start with money?,1
What is the best kind of lightbulb?,0
How do compilers use IR?,1
What does it take to be a really good sports coach?,0
Please write a thank you message for a jeans day pass donated by a parent to a teacher,0
"Identify which instrument is string or woodwind: Anzad, Alto flute",1
Extract a list of all countries sharing a border with Germany from this passage.,1
Explain to me why people decide to go vegan.,0
"Classify each of the following as a ""fiat money"" or ""cryptocurrency"": Bitcoin, US Dollar, British Pound, Ethereum, Dogecoin, Euro",1
Write a consoling message to my friend who didn’t get the job they wanted,0
Best places to visit in India During Winter to experience Snowfall,0
"Group following sports based on their similarities. Consider the instruments used, place and duration:

Tennis, kick-boxing, football, squash, boxing, rugby, table tennis, taekwondo",1
"Identify the bird from the list: Mouse, Balearic shearwater, Giraffe",1
"Classify each of the following animals based on whether they are suitable for being pets: elephant, fish, lion, dog, cat, mosquito, whale.",1
Astronomers are finding new planets every day. There could be potentially billions of planetary systems in the universe. Compare the these discovered planetary systems with our own Solar system.,1
Summarize how tourism impacted Hawaii in a variety of areas,1
Please give me a short bulleted list of key points about Ethiopia?,1
What happens to helicopter pilots during an emergency?  Do they have ejector seats like in jets?,1
"Describe how social media can help companies make better business decisions. What social media data can be collected to aid in business decisions? List four pieces of social media data (e.g., Twitter mentions and the number of retweets would be counted as two pieces).",0
What is Ramadan?,1
"Identify which instrument is string or percussion: Naqus, Pipa",1
What causes global warming?,1
"Identify the bird from the list: Barn owl, Python, Chimpanzee",1
"Tell me whether these terms are related to tennis, hockey, or basketball: alley oop, snap shot, serve, backhand shot, lay up, drop shot.",1
What is the study of semiconductors?,1
What is the play Esther?,1
What are the most common meals?,1
What is the square root of 25?,1
Who won the Second World War?,1
"Given this paragraph about Mark Arminski, why was he famous and what did he study last while still at school?",1
"Tell me whether these are mental disorders or types of cancer: Anxiety, schizophrenia, lymphoma, oropharyngeal, post-traumatic stress, neurodevelopmental, kidney",1
What kind of questions can I ask you?,1
What are six of the most picturesque national parks in the Unites States?,1
Tesrt,0
Why are people migrating in the US from the NE and Mid-West to the South and SE?,1
"Identify which instrument is string or woodwind: Wheelharp, Koudi",1
"Identify which animal is domesticated or wild: Society finch, Nutria",1
From the passage mention the years in which Virat Kohli won a trophy. Display the results in comma separated format.,1
"Please classify each of the following as numbers or letters: 1, A, 5, B, C, D, 99, 88, -2, Z, E, 4",1
Who produced the album Exit the Dragon,1
"Identify from the following list all of the ingredients that are necessary to bake chocolate chip cookies: butter, spinach, eggs, flour, apples, sugar, vanilla extract, chocolate chips, charcoal, a positive COVID 19 test cassette, fingernail polish, salt",1
"Using Max Weber's ideal bureaucracy as outlined in the provided text, generate 5 pro and 5 con bullet points on how bureaucracy is applied to an organization in practice.",0
What are most American homes made out of?,1
What are regarded as some of the best hip-hop albums of all time?,0
"Which of these items should I pack away during the summer: winter coat, swimsuit, hiking boots, space heater, coffee pot.",0
What is genomics?,1
Why do we love movies so much?,1
Give me a few key facts from the paragraph below,1
Name five Shakespeare plays or dramas.,1
"Tell me whether these are artists whose music appears in ""In The Groove"" or ""Dance Dance Revolution:"" NAOKI, Monolithic, Inspector K, Lady Gaga, Julie Ann Frost, MC Frontalot, DJ Doo, Banzai, m-flo",1
What activities does a 4 year old like?,1
"Given this paragraph about the NFL, in what year was the Super Bowl first held?",1
What companies are in the Big Four?,1
"Classify each of these objects as having color that is red or blue: tomato, sky, ice, fire, cherries.",1
What states make up New England?,0
Who is considered the greatest rock drummer?,0
Who is Ron Rivest?,1
Has Thailand been part in the ABU TV Song Festival,1
"From the given text, suggest some good activities for passing time during summer season.",0
How tall is Mt. Shakspere?,1
Is Davos worth traveling?,1
What is Kafka Connect?,1
"Classify the following breeds as either cats or dogs: Dalmatian, Abyssinian, Aegean, American Bobtail, Bombay, Saint Bernard, Burmese, Chartreux,  Golden Retriever, Welsh Hound, Shiba Inu",1
Which are the best movie sequels in the past century?,0
"Categorize the following ingredients as meat, cheese, or spread: mayonnaise, ham, swiss, muenster, turkey, mustard",1
What are the 5 points of sail?,1
Extract the names of the companies that built the Pacific Railroad,1
"Tell me the genre of music that these artist play: Miles Davis, Ice Cube, John Mayer, Waylon Jennings",1
is HR a great career,1
"Given this reference text, how was the cheeseburger invented?",1
Describe a Pink Flyod's concert,0
What is the difference between a Software Engineer and a Data Engineer,1
"Identify which instrument is string or percussion: Bell plate, Hululu",1
Who is the founder of the Pilates method?,1
"Given this text about gradient descent, what is gradient descent, and who invented it?",1
"Based on the following paragraph on paleontology, what's the difference between paleontology and archaeology?",1
"Classify each of the following as characters in the 2003 reboot of Battlestar Galactica or Pokemon: Starbuck, Admiral Adama, Snorlax, Lee Adama, Dugtrio, Gaius Baltar, Laura Roslin, Venusaur, Lapras",1
Please give me a short description of each of the three categories of performance that Bharatanatyam follows.,1
"Identify which of the following airlines are now defunct: Eastern Air Lines, Alaska Airlines, Virgin America Airlines, Virgin Atlantic Airlines, Pan American World Airways, Tower Air, Braniff International Airways, jetBlue, Spirit Airlines, Flybe",1
Find all of the Amsterdam museums mentioned in the text and put them in a numbered list.,1
How does one prepare for interviews at consulting firms?,1
